Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	2	aan de	12	18	1	A	9, 12, 20, 26
3	3	2	ja dat	18	10	1	B	16, 18, 25
2	2	2	het zijn	12	10	1	A	3, 12
12	10	1	ja	7	27	1	B	0, 7, 9, 13, 14, 16, 18, 19, 21, 23, 25, 26
8	5	1	dat	16	25	3	A	2, 14, 15, 16, 18, 22, 25, 26
8	8	1	met	14	16	1	B	11, 14, 15, 16, 19, 20, 22, 26
7	5	1	zijn	12	24	2	A	2, 3, 12, 14, 18, 19, 25
6	6	1	die	12	21	2	A	2, 8, 12, 15, 19, 22
6	6	1	een	11	15	1	A	6, 11, 12, 16, 19, 20
6	6	1	ik	2	25	1	B	0, 2, 11, 16, 19, 24
5	3	1	het	12	24	3	A	3, 4, 10, 12, 26
4	1	1	de	26	18	1	A	9, 12, 20, 26
4	4	1	en	12	8	3	A	5, 6, 7, 12
4	4	1	vierkant	26	25	3	A	2, 3, 4, 26
3	3	1	soort	12	21	1	A	6, 12, 26
3	3	1	twee	12	11	2	A	2, 4, 12
3	3	1	uit	12	8	2	A	5, 7, 12
3	3	1	van	12	17	1	A	10, 12, 26
2	2	1	je	2	3	1	B	0, 2

