Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
5	5	2	met de	14	14	1	B	9, 14, 15, 17, 22
4	4	2	dit zijn	22	22	1	B	9, 22, 25, 30
8	6	1	de	14	29	2	B	2, 9, 14, 15, 17, 22, 25, 30
8	4	1	zijn	4	30	1	B	1, 4, 6, 7, 9, 22, 25, 30
7	2	1	met	9	20	2	A	3, 6, 9, 14, 15, 17, 22
4	4	1	ik	3	20	2	B	1, 2, 3, 20
4	4	1	ja	23	18	2	B	12, 20, 23, 29
3	3	1	daar	19	22	1	A	7, 19, 28
3	3	1	dan	3	3	1	B	2, 3, 4
2	2	1	dat	6	6	1	B	1, 6
2	2	1	denken	3	3	1	B	1, 3
2	2	1	die	28	22	1	A	7, 28
2	2	1	een	9	7	1	A	3, 9
2	2	1	moeten	3	2	1	B	2, 3
2	2	1	op	3	2	1	B	2, 3
2	2	1	uit	21	18	1	A	4, 21
2	2	1	waar	28	22	1	A	7, 28

