Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	aan de zijkant	20	11	1	B	10, 20
4	2	2	aan de	20	21	3	B	0, 8, 10, 20
4	4	2	dit zijn	8	24	1	A	3, 8, 20, 26
3	3	2	ja en	13	22	1	B	0, 13, 21
15	14	1	ja	3	29	1	B	0, 3, 5, 6, 7, 10, 12, 13, 15, 20, 21, 23, 24, 26, 28
9	5	1	de	20	28	6	B	0, 8, 10, 15, 16, 17, 20, 22, 27
8	5	1	zijn	8	26	1	A	3, 8, 11, 14, 20, 25, 26, 28
7	7	1	dat	8	26	1	A	3, 8, 14, 17, 20, 25, 28
6	6	1	die	13	19	2	B	8, 10, 13, 20, 21, 26
6	6	1	met	8	18	2	A	3, 4, 8, 10, 15, 20
5	1	1	aan	13	21	3	B	0, 8, 10, 13, 20
5	5	1	een	3	21	1	B	0, 3, 4, 16, 20
5	2	1	en	3	22	1	B	0, 3, 4, 13, 21
4	4	1	bovenop	8	23	1	A	4, 8, 20, 26
3	1	1	zijkant	13	11	1	B	10, 13, 20
2	2	1	bolle	20	4	1	B	17, 20
2	2	1	ik	20	5	1	B	16, 20
2	2	1	zeggen	20	5	1	B	16, 20

