Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	ja dat zijn	35	31	1	B	5, 35
5	3	2	dat zijn	23	31	1	B	5, 23, 30, 31, 35
4	4	2	en dan	18	16	2	A	10, 13, 18, 25
2	2	2	aan de	11	8	1	B	4, 11
2	2	2	een soort	17	8	1	A	10, 17
2	2	2	en aan	8	5	1	B	4, 8
2	2	2	met dat	27	10	1	B	18, 27
11	9	1	de	8	31	1	B	4, 8, 11, 13, 26, 27, 28, 29, 31, 33, 34
11	7	1	en	7	32	2	B	2, 4, 7, 8, 10, 11, 13, 18, 25, 27, 33
10	3	1	dat	9	31	1	B	5, 9, 17, 18, 23, 25, 27, 30, 31, 35
9	8	1	ja	12	35	3	B	1, 3, 5, 12, 13, 15, 19, 22, 35
8	8	1	die	16	21	4	A	7, 8, 12, 13, 16, 17, 21, 27
7	5	1	met	16	24	1	A	10, 16, 17, 18, 27, 29, 33
5	1	1	dan	28	19	2	A	10, 13, 18, 25, 28
5	4	1	een	17	28	3	A	6, 7, 10, 17, 33
4	1	1	aan	13	10	1	B	4, 8, 11, 13
4	4	1	ruit	12	18	1	B	0, 12, 13, 17
4	4	1	van	17	12	2	A	7, 12, 17, 18
3	3	1	oké	20	11	1	A	14, 20, 24
3	3	1	zitten	17	10	2	A	8, 13, 17

