Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
4	4	3	aan de voorkant	17	22	1	B	1, 17, 19, 22
3	3	3	ei aan de	26	10	2	A	17, 22, 26
7	2	2	aan de	17	26	3	B	1, 5, 6, 17, 19, 22, 26
5	1	2	de voorkant	21	22	1	B	1, 17, 19, 21, 22
4	4	2	dat zijn	18	24	2	B	0, 14, 18, 23
3	3	2	dit zijn	17	23	1	B	0, 17, 22
3	3	2	met de	21	6	1	A	17, 21, 22
2	2	2	met het	21	5	1	A	17, 21
10	2	1	de	13	26	3	B	1, 5, 6, 13, 17, 19, 21, 22, 24, 26
10	10	1	een	10	27	5	B	0, 2, 4, 5, 6, 10, 19, 20, 21, 26
10	10	1	en	13	27	5	B	0, 2, 4, 5, 6, 13, 17, 20, 22, 26
9	3	1	zijn	10	24	1	B	0, 10, 12, 13, 14, 17, 18, 22, 23
8	1	1	aan	17	27	4	B	0, 1, 5, 6, 17, 19, 22, 26
8	5	1	ei	13	27	2	B	0, 6, 13, 17, 19, 21, 22, 26
6	2	1	dat	13	24	1	B	0, 13, 14, 17, 18, 23
6	4	1	met	19	14	2	A	13, 17, 19, 21, 22, 26
6	6	1	zitten	13	22	4	B	0, 2, 4, 5, 13, 21
5	3	1	het	21	13	3	A	10, 12, 17, 21, 22
5	5	1	ja	9	17	1	B	0, 9, 10, 11, 16
2	2	1	staaf	13	8	1	B	6, 13
2	2	1	weer	13	14	1	B	0, 13

