Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	3	dit zijn het	17	11	1	B	7, 17
4	4	2	dat zijn	20	10	1	B	15, 20, 21, 24
4	2	2	dit zijn	17	16	2	B	7, 16, 17, 22
10	2	1	zijn	17	20	5	B	5, 6, 7, 15, 16, 17, 20, 21, 22, 24
9	9	1	de	4	22	1	A	1, 4, 6, 7, 8, 16, 17, 18, 22
9	8	1	het	5	23	2	A	1, 2, 5, 7, 8, 11, 16, 17, 23
7	3	1	dat	11	20	2	B	5, 6, 11, 15, 20, 21, 24
6	6	1	ja	9	18	2	A	2, 3, 9, 11, 14, 19
4	4	1	hebben	4	5	3	A	0, 1, 2, 4
4	4	1	met	8	17	1	A	1, 8, 16, 17
3	3	1	die	4	16	1	A	1, 4, 16
3	3	1	een	4	4	2	A	1, 2, 4
3	3	1	en	16	13	1	A	11, 16, 23
3	3	1	even	10	5	2	B	6, 7, 10
3	3	1	ik	5	6	2	A	0, 1, 5
2	2	1	dus	6	6	1	A	1, 6
2	2	1	oké	5	6	1	A	0, 5

