Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	3	ja dat zijn	22	12	1	B	19, 22, 30
3	3	3	met die ruit	30	15	2	A	16, 23, 30
3	3	3	zijn die met	19	15	1	A	16, 19, 30
2	2	3	aan de zijkant	23	15	1	B	9, 23
2	2	3	met die twee	23	5	1	B	19, 23
6	3	2	dat zijn	19	30	2	A	1, 15, 19, 22, 29, 30
5	4	2	aan de	9	24	2	A	0, 1, 9, 16, 23
4	1	2	die ruit	36	21	2	A	16, 23, 30, 36
4	4	2	ja ja	8	31	1	A	3, 8, 10, 33
3	3	2	dit zijn	18	8	1	A	16, 18, 23
21	15	1	ja	4	34	1	A	3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 19, 20, 21, 22, 28, 30, 32, 33, 34, 36
11	2	1	zijn	12	36	1	A	1, 12, 15, 16, 18, 19, 22, 23, 29, 30, 36
7	1	1	dat	24	30	2	A	1, 15, 19, 22, 24, 29, 30
7	3	1	de	16	37	2	A	0, 1, 9, 16, 23, 31, 36
7	3	1	die	6	35	1	A	2, 6, 16, 19, 23, 30, 36
6	6	1	en	9	31	1	A	1, 9, 17, 18, 24, 31
6	4	1	met	19	35	2	A	2, 16, 19, 23, 30, 36
5	1	1	aan	16	24	2	A	0, 1, 9, 16, 23
5	1	1	ruit	30	36	3	A	1, 16, 23, 30, 36
4	1	1	dit	36	21	1	A	16, 18, 23, 36
4	4	1	een	9	20	2	A	0, 1, 9, 19
4	2	1	twee	19	22	2	A	2, 16, 19, 23
3	3	1	ding	9	16	1	A	2, 9, 17
3	3	1	nog	17	16	1	B	9, 17, 24
3	3	1	zo'n	17	11	1	B	9, 17, 19
2	2	1	hebben	9	10	1	A	0, 9
2	2	1	het	12	12	1	A	1, 12
2	2	1	ook	9	9	1	A	1, 9
2	2	1	soort	9	9	1	A	1, 9

