Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
5	5	2	en een	21	26	2	B	4, 18, 21, 25, 29
3	3	2	half cirkel	11	27	1	B	3, 11, 29
2	2	2	een soort	11	7	1	B	5, 11
10	5	1	een	11	32	4	B	0, 3, 4, 5, 11, 18, 21, 25, 29, 31
8	4	1	en	9	28	3	B	2, 4, 5, 9, 18, 21, 25, 29
8	8	1	zijn	9	25	1	B	5, 9, 11, 19, 20, 21, 27, 29
5	3	1	half	11	32	1	B	3, 11, 20, 29, 34
4	4	1	ik	1	14	1	B	0, 1, 2, 13
4	4	1	ja	7	28	1	A	6, 7, 22, 33
4	4	1	okee	10	25	1	B	3, 10, 12, 27
3	3	1	hebben	5	29	1	A	1, 5, 29
3	3	1	het	13	18	1	B	8, 13, 25
2	2	1	dan	13	12	1	B	2, 13
2	2	1	je	11	4	1	B	8, 11
2	2	1	weten	13	6	1	B	8, 13

