Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
3	3	2	staan op	22	20	2	B	3, 17, 22
2	2	2	dat zijn	16	7	1	B	10, 16
2	2	2	het plateau	17	7	1	A	11, 17
8	8	1	ja	5	21	1	B	1, 5, 6, 9, 15, 16, 19, 21
6	6	1	de	12	22	2	B	1, 2, 12, 13, 18, 22
6	3	1	op	11	21	2	B	2, 3, 11, 17, 18, 22
5	3	1	zijn	10	15	1	A	4, 10, 11, 16, 18
4	4	1	en	13	18	2	B	2, 3, 13, 19
4	2	1	plateau	11	20	1	B	3, 11, 17, 22
3	1	1	dat	18	9	1	B	10, 16, 18
3	3	1	een	16	15	2	B	2, 3, 16
3	1	1	het	17	7	2	A	11, 13, 17
3	3	1	ik	7	8	1	B	1, 7, 8
3	3	1	nou	7	19	1	B	0, 7, 18

