Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	en de ander een	2	B	16, 17
2	3	aan de linkerkant	23	B	3, 25
2	3	in het midden	15	B	1, 15
2	3	van het kop	3	B	1, 3
3	2	aan de	23	B	3, 24, 25
3	2	en de	3	B	15, 16, 17
3	2	het kop	15	B	1, 3, 15
3	2	het zijn	12	B	13, 15, 24
2	2	de twee	2	B	15, 16
2	2	kop met	15	B	1, 15
2	2	twee kegel	23	B	2, 24
2	2	zijn weer	15	B	1, 15
6	1	de	23	B	3, 15, 16, 17, 24, 25
6	1	een	24	B	1, 2, 3, 16, 17, 24
6	1	en	23	B	3, 15, 16, 17, 24, 25
6	1	het	25	B	1, 3, 13, 15, 24, 25
6	1	zijn	24	B	1, 13, 15, 16, 23, 24
3	1	ander	16	B	2, 16, 17
3	1	ja	11	B	9, 11, 19
3	1	kegel	23	B	2, 16, 24
3	1	met	24	B	1, 15, 24
3	1	weer	24	B	1, 15, 24
2	1	bol	10	B	15, 24
2	1	die	23	B	2, 24
2	1	uitsteeksel	14	B	3, 16
2	1	van	3	B	1, 3

