Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	4	daar boven hebben je	19	A	18, 36
2	3	aan de rechterkant	26	A	17, 42
2	3	aan de voorkant	38	A	2, 39
2	3	en een kegel	33	A	9, 41
2	3	hebben je een	3	A	34, 36
5	2	en een	34	A	9, 29, 36, 41, 42
4	2	hebben je	20	A	17, 18, 34, 36
3	2	een kegel	33	A	9, 22, 41
3	2	een soort	27	A	10, 19, 36
3	2	met een	24	A	19, 29, 42
2	2	een balle	18	A	17, 34
2	2	en je	11	A	10, 20
2	2	even kijken	32	A	8, 39
2	2	ja en	17	A	13, 29
12	1	een	35	A	8, 9, 10, 17, 19, 20, 22, 29, 34, 36, 41, 42
10	1	en	34	A	9, 10, 13, 17, 18, 20, 29, 36, 41, 42
9	1	ja	36	A	5, 13, 20, 22, 24, 27, 29, 32, 40
6	1	hebben	20	A	17, 18, 20, 32, 34, 36
6	1	je	27	A	10, 17, 18, 20, 34, 36
5	1	de	41	A	2, 13, 17, 39, 42
4	1	kegel	33	A	9, 22, 36, 41
4	1	oké	29	A	13, 16, 40, 41
3	1	nummer	27	A	14, 32, 40
3	1	rechthoek	33	A	8, 36, 40
2	1	bovenop	34	A	8, 41
2	1	dan	16	A	14, 29
2	1	dat	17	A	20, 36
2	1	die	6	A	12, 17
2	1	helemaal	18	A	19, 36
2	1	kop	7	A	35, 41
2	1	recht	23	A	19, 41
2	1	toch	21	A	10, 30
2	1	vierkant	18	A	19, 36
2	1	zijn	30	A	12, 41
2	1	zitten	8	A	10, 17

