Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	6	die van groot naar klein lopen	9	9	1	B	1, 9
2	2	3	de satelliet met	23	4	1	B	20, 23
2	2	3	ja dat zijn	12	5	1	A	8, 12
6	4	2	dat zijn	12	18	2	A	7, 8, 12, 15, 19, 24
3	1	2	ja dat	12	8	2	A	5, 8, 12
2	2	2	een soort	11	10	1	B	2, 11
9	6	1	ja	10	19	3	A	3, 5, 8, 10, 12, 14, 16, 18, 21
9	3	1	zijn	7	24	1	B	1, 7, 8, 12, 13, 15, 19, 21, 24
6	5	1	de	8	23	2	B	1, 4, 8, 17, 20, 23
6	4	1	een	5	11	3	B	1, 2, 4, 5, 7, 11
6	4	1	met	20	16	4	A	8, 9, 11, 17, 20, 23
6	6	1	paddestoel	8	22	1	B	2, 8, 13, 17, 20, 23
5	5	1	het	8	20	2	B	1, 2, 8, 13, 20
5	3	1	satelliet	13	19	1	A	5, 13, 17, 20, 23
4	3	1	die	9	21	1	B	1, 9, 13, 21
4	4	1	en	11	12	2	B	2, 4, 11, 13
3	3	1	aan	5	5	2	B	1, 4, 5
3	2	1	klein	9	9	2	B	1, 2, 9
3	3	1	twee	15	15	2	B	1, 13, 15
3	1	1	van	9	9	2	B	1, 2, 9
2	1	1	groot	9	9	1	B	1, 9
2	1	1	naar	9	9	1	B	1, 9
2	2	1	of	17	17	1	B	1, 17
2	2	1	vierkant	11	8	1	B	4, 11

