Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	4	en aan de linkerkant	19	15	1	B	5, 19
4	2	3	aan de linkerkant	8	44	1	B	5, 8, 19, 48
4	4	3	als de bak	38	33	2	A	12, 21, 38, 44
2	2	3	aan de rechterkant	9	2	1	A	8, 9
6	6	2	even breed	29	29	1	A	21, 29, 38, 44, 46, 49
5	2	2	de bak	38	38	2	A	12, 21, 38, 44, 49
4	1	2	als de	38	33	2	A	12, 21, 38, 44
3	3	2	borstel erin	17	42	1	B	3, 17, 44
2	2	2	een rond	21	2	1	B	20, 21
2	2	2	ja ja	37	15	1	B	23, 37
2	2	2	zitten een	33	15	1	A	19, 33
15	10	1	de	12	45	1	B	5, 8, 9, 12, 17, 19, 21, 22, 26, 32, 34, 38, 44, 48, 49
13	11	1	een	19	47	6	B	0, 2, 3, 5, 7, 11, 19, 20, 21, 31, 33, 36, 46
10	9	1	ja	13	40	2	A	1, 6, 13, 18, 20, 23, 33, 37, 39, 40
10	10	1	zijn	23	35	4	A	12, 15, 17, 21, 23, 29, 38, 42, 44, 46
9	9	1	het	15	45	2	B	2, 3, 15, 28, 29, 33, 36, 42, 46
7	3	1	als	29	35	2	A	12, 21, 29, 33, 38, 44, 46
7	5	1	en	19	42	2	B	5, 11, 19, 20, 21, 44, 46
7	1	1	even	29	38	2	A	12, 21, 29, 38, 44, 46, 49
7	7	1	oké	10	38	1	B	0, 10, 14, 16, 30, 35, 37
6	6	1	ik	12	37	3	B	0, 2, 3, 12, 33, 36
6	6	1	met	17	47	1	B	3, 17, 36, 44, 46, 49
5	2	1	borstel	27	42	1	B	3, 17, 27, 33, 44
5	5	1	zelf	29	33	2	A	12, 21, 29, 38, 44
4	4	1	of	8	44	1	B	3, 8, 21, 46
4	2	1	zitten	9	26	1	A	8, 9, 19, 33
3	3	1	voet	12	26	1	B	11, 12, 36
3	3	1	zien	33	25	1	A	12, 33, 36
2	2	1	hem	23	12	1	A	12, 23
2	2	1	wc-pot	4	2	1	B	3, 4

