Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	bij mij even zoeken ja	7	B	21, 27
2	3	ik hebben degeen	7	B	22, 28
3	2	bij mij	21	B	7, 21, 27
3	2	ik hebben	19	B	10, 22, 28
2	2	dat zijn	15	B	7, 21
2	2	een soort	2	B	10, 11
2	2	met de	3	B	28, 30
2	2	met een	2	B	10, 11
11	1	ja	28	B	3, 5, 6, 7, 11, 14, 20, 21, 24, 27, 30
5	1	de	21	B	10, 11, 22, 28, 30
5	1	met	24	B	7, 10, 11, 28, 30
5	1	zijn	24	B	7, 10, 21, 27, 30
4	1	dat	21	B	7, 16, 21, 27
4	1	ik	19	B	10, 11, 22, 28
3	1	dan	12	B	11, 21, 22
3	1	even	8	B	20, 21, 27
2	1	ah	9	B	19, 27
2	1	die	17	B	11, 27
2	1	een	2	B	10, 11
2	1	en	12	B	11, 22
2	1	op	2	B	10, 11
2	1	steken	19	B	10, 28
2	1	zien	18	B	3, 20

